Date,Date2,Home,Gas,Beef,Pork,IncomeMid,IncomeMid,SavingsRate,PctHome,PctGas,PctBeef,PctPork,PctChInL,PctChInM,Years
1972-01-01,01/01/72,26899.89,0.36,114,75.8,2783,9624,12.5,0.120734888,0,0.157360406,-0.068796069,0.219010074,0.10760732,1994
1972-02-01,02/01/72,26962.89,0.36,118.4,80.8,2783,9624,12.8,0.123359669,0,0.202030457,-0.007371007,0.219010074,0.10760732,1995
1972-03-01,03/01/72,26941.89,0.36,118.5,78.9,2783,9624,11.8,0.122484742,0,0.203045685,-0.030712531,0.219010074,0.10760732,1996
1972-04-01,04/01/72,26983.89,0.36,114.6,77.7,2783,9624,11.5,0.124234595,0,0.163451777,-0.045454545,0.219010074,0.10760732,1997
1972-05-01,05/01/72,27067.88,0.36,114.1,78.9,2783,9624,11.7,0.127733886,0,0.158375635,-0.030712531,0.219010074,0.10760732,1998
1972-06-01,06/01/72,27235.88,0.36,116.3,81.5,2783,9624,11.7,0.134733299,0,0.18071066,0.001228501,0.219010074,0.10760732,1999
1972-07-01,07/01/72,27508.87,0.36,120.2,85.1,2783,9624,11.7,0.14610693,0,0.220304569,0.045454545,0.219010074,0.10760732,2000
1972-08-01,08/01/72,27613.86,0.36,118.7,85.5,2783,9624,12,0.150481147,0,0.205076142,0.05036855,0.219010074,0.10760732,2001
1972-09-01,09/01/72,27592.86,0.36,115.9,86.1,2783,9624,12.2,0.14960622,0,0.176649746,0.057739558,0.219010074,0.10760732,2002
1972-10-01,10/01/72,27571.86,0.36,115.8,87,2783,9624,13,0.148731294,0,0.175634518,0.068796069,0.219010074,0.10760732,2003
1972-11-01,11/01/72,27592.86,0.36,115.4,86.7,2783,9624,13.6,0.14960622,0,0.171573604,0.065110565,0.219010074,0.10760732,2004
1972-12-01,12/01/72,27613.86,0.36,117.8,88,2783,9624,13.7,0.150481147,0,0.195939086,0.081081081,0.219010074,0.10760732,2005
1973-01-01,01/01/73,27550.86,0.39,125.5,93.6,2909,10471,12.4,0.147856367,0.083333333,0.274111675,0.14987715,0.274200613,0.205086891,2006
1973-02-01,02/01/73,27550.86,0.39,134,96.6,2909,10471,12.5,0.147856367,0.083333333,0.360406091,0.186732187,0.274200613,0.205086891,2007
1973-03-01,03/01/73,27571.86,0.39,139.3,102.5,2909,10471,12.7,0.148731294,0.083333333,0.414213198,0.259213759,0.274200613,0.205086891,2008
1973-04-01,04/01/73,27571.86,0.39,140,102.2,2909,10471,13.2,0.148731294,0.083333333,0.421319797,0.255528256,0.274200613,0.205086891,2009
1973-05-01,05/01/73,27634.86,0.39,140.1,101.9,2909,10471,13.2,0.151356074,0.083333333,0.422335025,0.251842752,0.274200613,0.205086891,2010
1973-06-01,06/01/73,27697.86,0.39,139.6,103.6,2909,10471,13.6,0.153980854,0.083333333,0.417258883,0.272727273,0.274200613,0.205086891,2011
1973-07-01,07/01/73,27676.86,0.39,140.6,107,2909,10471,13.2,0.153105927,0.083333333,0.427411168,0.314496314,0.274200613,0.205086891,2012
1973-08-01,08/01/73,27928.85,0.39,148.7,130.9,2909,10471,13.9,0.163604631,0.083333333,0.50964467,0.608108108,0.274200613,0.205086891,2013
